X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,y_test
2,2,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52,aug
6,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0,aug
4,6,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0,sep
3,4,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88,sep
7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71,sep
7,6,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.0,jul
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,sep
6,6,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0,jul
8,6,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0,jul
6,5,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,3.95,sep
8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0.0,aug
6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0,sep
3,4,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1,mar
2,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,0.0,aug
5,4,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,0.0,sep
2,3,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,0.0,sep
6,3,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0,sep
4,4,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,7.31,sep
4,3,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44,aug
2,5,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,3.19,jun
7,4,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06,sep
2,4,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,0.0,aug
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71,sep
3,4,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2,aug
6,5,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,0.0,sep
1,2,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0,sep
6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0,sep
4,3,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,7.8,sep
4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,0.0,aug
2,2,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02,jun
2,5,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,9.96,sep
1,4,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0,jul
2,2,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0,jul
2,5,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04,sep
6,4,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39,sep
1,5,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3,sep
4,4,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58,sep
7,4,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.94,sep
2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71,aug
5,4,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09,aug
3,4,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59,sep
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,mar
4,4,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55,sep
3,4,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47,aug
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32,aug
2,2,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0,aug
4,4,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7,aug
6,3,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,mar
1,4,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19,sep
2,2,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83,sep
8,6,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,0.0,aug
8,6,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28,aug
8,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,sep
9,5,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0,jun
7,4,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0,jul
2,4,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0,aug
2,2,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0,sep
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,aug
8,6,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54,aug
4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0,aug
3,4,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,0.0,aug
6,3,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1,sep
7,4,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0,sep
7,4,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,mar
8,5,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,oct
